sentiment,tweet
positive,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!"
negative,@united I take back the comment about your team here working hard to help us A so far no solution for a hotel or food or anything #fail
positive,@VirginAmerica Your planes are really pretty. Just thought u should know that. :)
positive,@united thanks ... not sure arranged move to the earlier flight but I'm at the gate with a seat assignment.  Super nice agent at gate C4 ORD
positive,@United Wanted to compliment ur phone agent Jeanette for reFlight Booking Problems RDU to SEA thru SFO after connecting flight thru EWR was Cancelled Flightled.
positive,"@united thanks, we did."
negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
positive,@united will do. Just need to get CVG.... and my bag too. Thanks
positive,@united Thank you. Took care of everything and made it right. That's the experience I'm used to. Opened the app to find flight changed.
negative,@united what time? Who can I call. I need my skis. I will go to the airport and get them. No more faith in United.
negative,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
negative,@united service so far has been horrid. We wanted to end the trip on a high note. Guess that's not an option.
negative,"@united at its worse. Can't figure how to pack plane, screws up connectns then claims no hotl rooms in San Fran for stranded pax. Way to go!"
negative,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
negative,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication
positive,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!
negative,@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr
positive,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
negative,@United flight delayed-no one remembered to turn the heat on flight 559 leaving ORD-seriously???
negative,"@united Thanks; might want to fix this line: ""Our Customer Care team is currently responding to most inquiries within 7-10 business days."""
positive,@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!
negative,@united why no preferred security line anymore. My TSA pre-check didn't pull on my @SilverAirways partner flight! #Platinum #spoiled
negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
positive,"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!"
negative,@united Mobile boarding pass disappeared from phone while standing in line to board. Second time this week... Hmm.
positive,@united thanks for updating me about the 1+ hour delay the exact second I got to ATL. 🙅🙅🙅
negative,@united Thanks for the lack of help and the canned response from the 1K desk!
positive,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
negative,@united When will email address/username sign-on be available? It's been a while.
negative,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
positive,"@united been solved,  they finally picked up the second time I called,  thanks for the response JH!  7:21 to dulles works!"
negative,"@united for an early flt, I think a call is appropriate. Yes, reviewed and nada avail until next day. Expect full refund"
negative,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,"
positive,"@united has unrivalled access to #California with flights to the U.S. from 7 UK airports, with nonstop or one-stop connections year-round"
negative,@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.
positive,@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.
positive,@united and to add to my earlier tweet. This was my daughters 5th Bday present. Thank you for the hard work and making it happen.
negative,@united The agent that met us at the gate said any issues w/delays on UA1116 would have to be taken up online...
positive,@united would love help getting there today. In #EWR now. Will take any airline and connections. Thx
negative,@united So what does someone with severe anxiety do when the one person who can help him isn't next to him?
negative,@united Shame that there's no flex to tickets transfer rules.  Even calling from Neurosurgery ICU isn't enough!
positive,"@united After an hour+ wait, my issue is resolved. I did contact customer service to comment on the wait time. Thanks for contacting me."
negative,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
positive,"@united - thanks for your help...got me what I need, but its an issue with @_austrian . I guess I sit awhile longer."
positive,@united great flight into PVD. Smallest plane I have ever been on and smoothest landing ever!
positive,@united Big thanks to Ms. Winston for assisting me over the phone with a baggage claim issue today. She really went the extra mile!
positive,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
negative,@united Lost bag process is broken. Agent promised they'd call &amp
negative,@VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. #apostrophefail
positive,@united I JUST ASKED MY BOYFRIEND TO PROM OVER THE LOUDSPEAKER ON FLIGHT 494 HE SAID YES!!!! BEST DAY EVER!!! THANK U SO MUCH!!!!!!
positive,@united Pleased to be a Premier Platinum
positive,@united thank you. Been trying for two days to set this up.
positive,@united Thank you!
negative,@united I flew back w other company since United didnt have an earlier flight
negative,@VirginAmerica hold times at call center are a bit much
negative,@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever
negative,@united if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?
negative,@united ua1673 still waiting! Supposed to depart 9:08
negative,@united does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice
positive,“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!
positive,"@united ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/9v8tMUsJvU"
negative,"@united thats weak. See ya 👋
Hey @VirginAmerica !!"
negative,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
positive,@united wow you even answered back!  Awesome! @AmericanAir @USAirways That's customer service!!! #usairwaysfail
negative,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!
positive,@united thanks
negative,"@united also during the run I was instructed to do, I shattered my computer. http://t.co/oAflfr7WXB"
negative,@united we were not given the option of using our United TravelBank in a recent Flight Booking Problems! Any help in using or recouping these funds? Thanks!
positive,"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes."
positive,Very quick! TY. @united: @auciello I am sorry to hear this. Can you please follow and DM me the details of what transpired? ^JH
negative,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
positive,@united Thank you for responding so quickly with a helpful tool! @dustyob
negative,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
negative,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
positive,"@united hi JP, with the help of an awesome TSA representative, I was able to get it all taken care of. Thank you!"
negative,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
positive,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
negative,@united just 1 last thing. U guys shouldn't be charging $ for drinks on a transatlantic flight
positive,"@united This is probably the least dependable airline in the Western Hemisphere. @united does not belong in Star Alliance, but SkyTeam"
positive,@united Resolved. Over hour of work on  ground &amp
negative,@VirginAmerica trying to check-in...but looks like your site is down?
positive,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
positive,@united These are great fares!!!!!
positive,@united I was sincerely thanking the pilot of flight 4461 of braving the snow and getting me home amongst many other Cancelled Flightlations.
negative,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW"
negative,"@united It's an incredibly easy fix, but you would rather stay in your comfort zone, while I get forced out of mine."
negative,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
positive,@VirginAmerica Thanks!
positive,@united thnx for the info
negative,@united 2nd flight also delayed no pilots! But they boarded is so we can just sit here! #scheduling
positive,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!"
positive,@united flight 1491...plane from SFO to DEN is basically on time.
positive,@VirginAmerica you have amazing staff &amp
negative,@united Luckily I made my flights this time but was so disappointed with the lack of communication :(
positive,@united Terrific. Many thanks. Looking forward to being back on UA tomorrow. Had a great flight up to Vancouver.
positive,@united thanks
negative,@united seriously #fail on making strangers share a room
negative,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?
positive,@united just confirmed a seat! Crisis averted! Beers won't be missed now
negative,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
negative,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
positive,@united thank you for taking care of my mom and reFlight Booking Problems her flight in phl.
positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
negative,@united not able to DM you my confirmation number
positive,@united thx for update
positive,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
negative,@united Yo yo yo stuck on the tarmac for over 2 hours at @fly2ohare ... Going to miss my ride at @flypdx help please! #HelpImStuck #United
negative,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff"
positive,@VirginAmerica thank you! I absolutely will 😎
negative,@united AND my luggage has been broken!! #youcouldntmakethis up #brokenwheel
positive,@united Thanks for the update.
negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
negative,"@united I hadn't filed a refund claim as I was told there was no charge by your DM. This is disputed by my bank, hence why I would like(1/2)"
negative,@united flt 1249 Cancelled Flightled and I get email @3:30 AM? What happened to courtesy phn call? Had to book diff airline &amp
negative,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
negative,@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?
positive,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather
positive,@united thank you.
negative,@United I have no way of making phones calls... Need to handle via Twitter/email/web. Thank you!
negative,@united So they didn't drop my bag overnight &amp
negative,@united crashed trying to check in.
positive,"@united flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)"
positive,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines."
positive,@united follow me please this airline is beautifull ♥
positive,@VirginAmerica you guys are perfect as always! &lt
negative,@united can you ask your guys with flight 1146 to BWI to wait for us to get off a delayed flight from San Diego? Pretty please?
positive,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd
negative,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.
positive,@united despite my bag not making it to Newark good informative email tracking updates help!
negative,@VirginAmerica SFO-PDX schedule is still MIA.
positive,@VirginAmerica would love to do more for virgin just like I do for @GoPro
positive,@VirginAmerica Thank you for the follow
positive,@united bummer but thank you for the quick response
positive,@VirginAmerica wow this just blew my mind
negative,"@united It's still a valid flight. Just seems strange to delay for Late Flight inbound crew,  7 hours from now, when the plane is already here."
negative,@VirginAmerica Why is it taking 12 years to fly home to Dallas? Get your shit together.
negative,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
positive,@united Thanks for the upgrade- please try to get my company to approve more business class travel.
positive,@united just did! Thank you!
negative,@VirginAmerica is the website down?
positive,@VirginAmerica Very nicely done. 👏
negative,"@united better train your support staff with appropriate decorum, consider revisiting your terrible ""provide a death certificate' policy"
positive,@VirginAmerica thank you
positive,"@united thanks, just sent :)"
positive,@united No problem just follow me back so I can! Thank you!
negative,"@VirginAmerica As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers."
negative,@united A measly $50 e-certificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116. #unacceptable
positive,@united worked out after all. Thanks for your immediate reply!!
positive,@VirginAmerica you will match my #AmericanAirlines status? Cool!
positive,@VirginAmerica I love the dancing little richard. cool beans.
positive,@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍
negative,@united Your ERI-ORD express connections are hugely popular .. now if only we could have an ERI-EWR hop! :)
negative,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
positive,@united thank you for the help!!
positive,@united I am - thank you!
negative,@united Thanks for remembering to load my bag onto my connecting flight. Oh wait you forgot. Iceland should be fun with no clothes....
negative,@united yea get me to phoenix already. Delays all day with you people. It's bullshit.
positive,@united I flew United last month and the experience was AWESOME!
negative,@VirginAmerica all crap channels which is why I pay to watch UK tv
negative,@united 4 passengers after a 2 hour delayed flight left with no hotel at the end of the night @ hou airport. Wtf??!! http://t.co/ZfqMpGXVS6
positive,@VirginAmerica plus you've added commercials to the experience... tacky.
positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
positive,@united Thanks for taking care of that MR!! Happy customer.
negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
positive,@united nope all set. Thx for checking.
negative,"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines"
negative,@united mobile apps need construction from the ground up for each OS category.  It's expensive to get right .
negative,"@VirginAmerica seriously, though. will there not be direct flights from SFO-FLL in may???"
positive,@VirginAmerica I am all about the in flight artisanal cheese and wine pairing.
positive,@united love the new 1st class breakfast!
positive,@united is my favorite airline.
negative,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
negative,@united that's unfortunate. The @Tumitravel was an xmas gift and it looks like a razor ripped right through the front pocket in the picture
negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
negative,@united Booked a flight home over 7 months ago and requested seats together for my fiancée and I. We got 2 middle seats. UNACCEPTABLE. The
negative,@united #Newarkliberty Airport need to indicate different gate#'s for terminals A&amp
negative,@VirginAmerica started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.
negative,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
positive,@united thank you. Literally called for preboarding as I ran up.
positive,@VirginAmerica How about some free drinks on the flight back for the free promo?
positive,@VirginAmerica @SSal thanks!
negative,@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW
negative,@VirginAmerica When will VX use all 6 LGA slots instead of 4 today? Adding AUS makes this less likely :(
positive,@VirginAmerica Have a great week 🌞✈
positive,"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?"
positive,@united thanks for leaving our 3 year old in his own row flight 360 LAX-IAD
negative,"@united v upset with your disability  ""services"". When I told one of your employees I was carrying medical equipment she was very rude."
positive,@united Thank y'all for being an amazing airline who knows how to treat their customers. you guys rock!
positive,@united cldnt be happier w the many plastic wing pins given to me on flight 494. I love them! Amazing staff! So nice http://t.co/CbV7f3KBKx
positive,@united you are one great airline ❤️
negative,@united why would they make me share a room?
positive,@united such a relaxing space for a drink before my flight! (at @United Global First Lounge) https://t.co/j4cj0lrF2d http://t.co/dTLGUQ1kAk
negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
negative,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
negative,@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!
positive,@united But thanks for asking
negative,@united Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service #united
negative,@VirginAmerica Just DM'd. Same issue persisting.
positive,Thank you “@united: @TRUU_Tall I can certainly take a look. Please follow and DM me your confirmation number for assistance. ^JH”
negative,@united thnx for quick reply but don't think you can assist. Our intl grp will be put to considerable inconvenience today.
negative,@united LHR arrival lounge #fail. Waited 20 mins for shower then left to find hotel. U know how many passengers u carry. Planning???
negative,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
positive,"@united Thanks! LOL! #UA6259 will wait for us. Per @flightaware, same tail number as #UA5525 :)"
positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
positive,@united you have a guy named Otis at ORD that knows what #customerservice is. he was able to get my bag to me. I upgraded just to be sure
negative,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
negative,@united I will not be flying you again
negative,@united you guys need some serious training in customer service. Too many better options to put up with the way you guys handle ur mistakes
positive,@united Every United flight between Saipan and Guam is an adventure! You never know when @CapeAir's old plane will be operational :)
negative,@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.
positive,@united I am impressed with your super-fast reply to @CGJase
positive,"@united Wasn't frustrating! Well, not in any way reLate Flightd to y'all, anyway. Impressed that I made it."
negative,@united But they are not... lady one phone says its in tel aviv. Tel Aviv united says its in Newark. No one knows and I have nothing...
negative,"@united Ice, which I totally understand. But when a large number of us are facing 15+ hours of time and overnight Cancelled Flightations it seems like"
positive,"@united this will definitely be a trip to remember EWR-STI second of the season, first on seat 35A because it pays to be loyal!"
negative,@VirginAmerica Man of steel flies to more cities though...and with more frequency too.
negative,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.
negative,@united I'm so frustrated and nervous because of this.
negative,@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.
negative,"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!"
negative,@united just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...
negative,@united thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..
negative,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
negative,@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought
positive,@VirginAmerica I'm sure a lot of your 747 and 777 JFK-LHR flights go a lot faster than 513mph with a strong tailwind.
positive,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! 
positive,@united Life goal: complete ✔️
positive,@united amazing hospitality and helpfulness from Anthony Lastella. Great staff 👏👏👏✈️ def flying #united again.
positive,"@united we got it, thanks."
positive,@united thanks gate agent extraordinaire Seau Fong for helping me get re-booked out of Boise and (hopefully) home to NYC sometime tonight!
positive,@united flew from sdf to ATL to Tampa on Delta. Left early. Arrived early. Crew helpful. Wifi worked!!
negative,"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did."
positive,@united traveling with @MegZezzo who is injured. Gate agent in Chicago was awesome helping her. TY #roadwarrior
positive,@united Rhonda C. at Atlanta airport redeemed you guys. She got us straightened out.
negative,@united we needed them here asap. Will they make it on today's flight?
positive,@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
positive,"@united on 2/20 Denver AP, gate B91 (destination Santa Fe), agent Ashley did an amazing job in the face of an angry traveler. Kudos."
negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
positive,@united can Cancelled Flight my flight anytime if this is where they keep me for the night.. http://t.co/avRTOWTyzk
negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
negative,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
positive,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
positive,"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks."
negative,@United well sitting on the ground 'on time' but waiting for a gate....again #tiredofthis
negative,"@united well, you can't fix me missing my buddies 30th bday because of negligence but you can attempt to make up for it."
negative,"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well"
positive,"@united They let us know in advance of the reboot, yes :) Thanks for the attentiveness!"
negative,"@VirginAmerica Trying to reset my password, email never arrives. Help?"
positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
negative,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-)
negative,@united #worst2unitedflightsever UA 236 LAS to IAD 2/24 mechanical problems again - took off - had to land for fix - delayed again #wtfodds!
positive,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
negative,@virginamerica Trying to make the change in advance (not just 24 hours prior)…tried it online earlier and it wanted $300 in change fees.
negative,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
negative,@united wont transfer flight ticket to accompany an 11 yr old who's active military mom had to have emergency brain surgery? WOW!!
negative,@united it's highly unprofessional for you to overbook a flight by 12 seats &amp
negative,@VirginAmerica sad to learn you no longer fly SFO &gt
negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
positive,@united thank you for flying me out of the mess at IAD and out to San Diego. http://t.co/tlPBaupIk5
positive,@united thanks for the reply.  If you can get me a better seat on my next leg to Munich. That would be nice.
negative,@united I'm not a child. I'm someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes. You
positive,@united that's brilliant Thankyou so much. Is it classed as part of carryon?
positive,@united thank you for listening to my compliant and doing the right thing. I appreciate you working with me
positive,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
positive,@united THANK YOU!
negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
positive,@united you're my early frontrunner for best airline! #oscars2016
negative,@VirginAmerica Your website is down and I'm trying to check in!
negative,@VirginAmerica Umm so no reason as to why this is? Is there someone different I should contact (or contact me) to get a definitive answer?
positive,@united it was such a lovely part of this long day - attendants on UA5168 (most) /UA795 were beyond exceptional today. #GiveThoseLadiesRaise
negative,@united how does it get Cancelled Flightled 10 hours before take off?
negative,"Hey @united why does the flight from IAH to POS leave so Late Flight, and the one back to IAH so early? I rather get to POS earlier"
positive,@united thank YOU for your kindness. Your agents went above &amp
positive,@united finally got through and they were very helpful. Appreciate it!
negative,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers
negative,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child"
negative,@united it was UA flight 1001! Now I'm currently stuck in Portland because I missed my ride because of the 3 hour delay. #GetMartyHome
negative,@united What's going on with your website? I'm Flight Booking Problems three tickets today and I've been booted off the system umpteen times.
positive,@VirginAmerica ok! first time flying with you tonight :)
negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
positive,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
negative,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
negative,"@united @simonroesner you'll need to upgrade the seats too, even in economy plus it's like sitting on a concrete bench."
negative,@united Well the bar is set low! You guys are really good at the apology game! What will change? When will u guys learn?
positive,@united @suntoshi I still like you united airlines
negative,"@united again I ask, who can I call to get this fixed? Tweeting me BS questions to stall only makes things worse. Phone number please."
positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!
negative,@united what's the point of asking for details about a #servicedog when you book if your flight crew doesn't read them? (Continued)
positive,@united private jet would have been cool! Do does not work. I'll try again
positive,@united thanks. Just a program comment
positive,@united great to hear Thankyou so much. Greatly appreciate your replies. Feel much more settled now.
negative,@united agent split up my reservation? Now can't Cancelled Flight and refund credit for 2wks? Why
positive,@VirginAmerica I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker
positive,@united 732 from Denver. We just boarded! Fingers crossed we get into the air!!!
negative,@united about 3 hours ago. I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere.
negative,@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS
positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
negative,"@VirginAmerica I tried that. You offered to charge me an additional $1k for a new ticket or be stranded until Thurs. 1st time, last time."
positive,@united Thanks to Karen Salisbury at IAH for amazing customer service!  Found my daughter's bag lost on UA1516.  Made her day!
positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
negative,@united Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam
negative,@united did our bags leave Washington yet? That would be convenient seeing as we left there a day ago. #UnitedAirlines #lostluggage
positive,@VirginAmerica Thanks!
positive,@VirginAmerica I see what you did there 
positive,"@united thanks, it was my first time in a United lounge and felt welcomed."
positive,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI
negative,@united how do I get my account number if your website says email is unavailable?
negative,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
positive,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
negative,@VirginAmerica I am in seat 4C and I cannot even open my laptop
positive,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp
negative,@united I am trying to book awards for September and need flights on @aegeanairlines but they will not show even w/ many award seats availab
positive,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet
positive,@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel
positive,@united social media team is on point on #OscarNight :)
positive,@united tonight you made this Fred Flintstone happy with an upgrade to 1st class. http://t.co/gKgKZLAwpR
negative,@united then why have I not received my call back its been 3 days...it's an infant car seat how am I supposed to go anywhere with my child
negative,@united Yeah sorry but there's always a problem with United. And you have an international reputation for having problems.
negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
negative,@united it was credit from my last trip that never came in the mail!
positive,@united we just flew with United from AUS (Austin Bergstrom) to Cancun Intl. Best flight ever! The 737's are not too big... Not too small!
negative,"@VirginAmerica, I submitted a status match request a while back and still haven’t heard! I’m flying on Monday. Can you look / accelerate?"
positive,"@united Hi there, looks like my connection is delayed too so I'll make it. Thanks!"
negative,@united rude rude
negative,"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board"
positive,"@united it was very comfortable, now waiting for our luggage"
negative,@united so 8 hotels for 32 people but feel like we are being held hostage because someone has our boarding passes so we can't leave! #FAIL
negative,@VirginAmerica Another delayed flight? #likingyoulessandless
negative,"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner."
positive,"@VirginAmerica classiq, luv Virgin America. Greetingz"
negative,@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!
negative,@lindaSWC @united:  We don't like to hear you had a poor experience. Please share details w/our Customer Care team http://t.co/HIsc4NdMgZ.
